1,doi:10.1101/2023.07.20.23292938,  title: Deciphering the genetic architecture of atrial fibrillation offers insights    into disease prediction, pathophysiology and downstream sequelae,2023,37546828,Preprint,Complex Traits,CAD/CVD,Collaborative
2,doi:10.1371/journal.pgen.1010807,  title: Regularized sequence-context mutational trees capture variation in mutation    rates across the human genome,2023,37418489,Selected Work,Pop Gen,Mutation Rate,Statistics,Methods Development,Software
3,doi:10.1101/2023.05.23.541901,  title: "G6PC2 controls glucagon secretion by defining the setpoint for glucose in\    \ pancreatic \u03B1-cells",2023,NA,Preprint,Complex Traits,T2D,T1D,Consortia,Collaborative
4,doi:10.1101/2023.05.05.23289560,  title: Evaluation of plasma biomarkers for causal association with peripheral artery    disease,2023,NA,Preprint,Complex Traits,Mendelian Randomization,CAD/CVD,Pleiotropy,Collaborative
5,doi:10.1101/2023.05.03.23289457,  title: Evaluation of the Performance of the RECODe Equation with the Addition of    Polygenic Risk Scores for Adverse Cardiovascular Outcomes in Individuals with    Type II Diabetes,2023,37205500,Preprint,Complex Traits,T2D,CAD/CVD,Pleiotropy,Collaborative
6,doi:10.1111/2041-210X.13991,  title: "Identifying rare variants inconsistent with identity\u2010by\u2010descent\    \ in population\u2010scale whole\u2010genome sequencing data",2022,NA,Selected Work,Pop Gen,Mutation Rate,Software
7,doi:10.1101/2022.10.14.512160,  title: Regularized sequence-context mutational trees capture variation in mutation    rates across the human genome,2022,NA,Preprint,Pop Gen,Mutation Rate,Statistics,Methods Development,Software
8,doi:10.1101/2022.06.28.497617,  title: 'Estimating the effect size of a hidden causal factor between SNPs and a    continuous trait: a mediation model approach',2022,36229773,Selected Work,Complex Traits,Statistics,Methods Development,Software
9,doi:10.1371/journal.pone.0268660,  title: "Characterization of the genome and silk-gland transcriptomes of Darwin\u2019\    s bark spider (Caerostris darwini)",2022,35666730,Selected Work,Spiders
10,doi:10.1111/jth.15698,  title: "Multi\u2010phenotype analyses of hemostatic traits with cardiovascular events\    \ reveal novel genetic associations",2022,35285134,Complex Traits,CAD/CVD,Pleiotropy,Collaborative
11,doi:10.1007/s00125-022-05653-1,  title: Separating the direct effects of traits on atherosclerotic cardiovascular    disease from those mediated by type 2 diabetes,2022,35129650,Complex Traits,Mendelian Randomization,T2D,CAD/CVD,Pleiotropy,Collaborative
12,doi:10.1371/journal.pgen.1010113,  title: A Phenome-Wide Association Study of genes associated with COVID-19 severity    reveals shared genetics with complex diseases in the Million Veteran Program,2022,35482673,Preprint,Complex Traits,Collaborative,MVP
13,doi:10.1371/journal.pgen.1010193,  title: A multi-population phenome-wide association study of genetically-predicted    height in the Million Veteran Program,2022,NA,.
14,doi:10.1038/s41588-022-01078-z,  title: A multiancestry genome-wide association study of unexplained chronic ALT    elevation as a proxy for nonalcoholic fatty liver disease with histological and    radiological validation,2022,35654975,Complex Traits,Selected Work
15,doi:10.1038/s41588-022-01097-w,  title: Epigenomic and transcriptomic analyses define core cell types, genes and    targetable mechanisms for kidney disease,2022,NA,.
16,doi:10.1038/s41591-022-01891-3,  title: Large-scale genome-wide association study of coronary artery disease in genetically    diverse populations,2022,NA,.
17,doi:10.3389/fgene.2021.787545,  title: Multi-Trait Genome-Wide Association Study of Atherosclerosis Detects Novel    Pleiotropic Loci,2022,NA,.
18,doi:10.3233/JAD-220025,  title: "Polygenic Risk Scores in Alzheimer\u2019s Disease Genetics: Methodology,\    \ Applications, Inclusion, and Diversity",2022,NA,.
19,doi:10.1186/s12864-022-08654-x,  title: 'TSABL: Trait Specific Annotation Based Locus predictor',2022,NA,.
20,doi:10.1101/2021.12.16.21267869,  title: Mendelian randomization analyses clarify the effects of height on cardiovascular    diseases,2021,NA,.
21,doi:10.1186/s13195-021-00773-z,  title: "Multi-trait association studies discover pleiotropic loci between Alzheimer\u2019\    s disease and cardiometabolic traits",2021,NA,.
22,doi:10.1101/2021.11.05.21265991,  title: 'ColocQuiaL: A QTL-GWAS colocalization pipeline',2021,NA,.
23,doi:10.1101/2021.11.05.467482,  title: Obesity and adiposity have opposing genetic impacts on human blood traits,2021,NA,.
24,doi:10.1101/2021.09.27.21264198,  title: 'TSABL: Trait Specific Annotation Based Locus Predictor',2021,NA,.
25,doi:10.1038/s41467-021-25377-x,  title: A single genetic locus controls both expression of DPEP1/CHMP1A and kidney    disease development via ferroptosis,2021,NA,.
26,doi:10.1101/2021.08.05.21261658,  title: Separating the direct effects of risk factors for atherosclerotic cardiovascular    disease from those mediated by type 2 diabetes,2021,NA,.
27,doi:10.1161/JAHA.120.020331,  title: "Genetic Evidence for Repurposing of GLP1R (Glucagon\u2010Like Peptide\u2010\    1 Receptor) Agonists to Prevent Heart Failure",2021,NA,.
28,doi:10.1161/CIRCRESAHA.121.319589,  title: A Missense Variant in the IL-6 Receptor and Protection From Peripheral Artery    Disease,2021,NA,.
29,doi:10.1101/2021.05.18.21257396,  title: A Phenome-Wide Association Study of genes associated with COVID-19 severity    reveals shared genetics with complex diseases in the Million Veteran Program,2021,NA,.
30,doi:10.1101/2020.12.26.20248491,  title: A trans-ancestry genome-wide association study of unexplained chronic ALT    elevation as a proxy for nonalcoholic fatty liver disease with histological and    radiological validation,2021,NA,.
31,doi:10.1038/s41588-021-00879-y,  title: A unified framework identifies new links between plasma lipids and diseases    from electronic medical records across large-scale cohorts,2021,NA,.
32,doi:10.1161/ATVBAHA.120.315482,  title: Association Between Genetic Variation in Blood Pressure and Increased Lifetime    Risk of Peripheral Artery Disease,2021,NA,.
33,doi:10.1038/s41467-021-27001-4,  title: Cis-regulatory architecture of human ESC-derived hypothalamic neuron differentiation    aids in variant-to-gene mapping of relevant complex traits,2021,NA,.
34,doi:10.1093/IJE/DYAA050,  title: Cross-trait analyses with migraine reveal widespread pleiotropy and suggest    a vascular component to migraine headache,2020,NA,.
35,doi:10.1101/2021.08.29.21262793,  title: Evaluation of height as a disease risk factor through a phenome-wide association    study of genetically-predicted height,2021,NA,.
36,doi:10.1101/2021.05.21.21257493,  title: Multi-trait GWAS of atherosclerosis detects novel pleiotropic loci,2021,NA,.
37,doi:10.1038/s41467-021-22338-2,  title: Genetic analysis in European ancestry individuals identifies 517 loci associated    with liver enzymes,2021,NA,.
38,doi:10.1001/jamanetworkopen.2020.34461,  title: Genetics of Smoking and Risk of Atherosclerotic Cardiovascular Diseases,2021,NA,.
39,doi:10.1186/s13059-020-02207-9,  title: Genome-wide association study implicates novel loci and reveals candidate    effector genes for longitudinal pediatric bone accrual,2021,NA,.
40,doi:10.1093/G3JOURNAL/JKAA039,  title: Golden orb-weaving spider (<i>Trichonephila clavipes</i>) silk genes with    sex-biased expression and atypical architectures,2020,NA,.
41,doi:10.1038/s41588-021-00909-9,  title: Mapping the genetic architecture of human traits to cell types in the kidney    identifies mechanisms of disease and potential treatments,2021,NA,.
42,doi:10.1101/2021.08.03.21261508,  title: Multi-ancestry Multivariate Genome-Wide Analysis Highlights the Role of Common    Genetic Variation in Cardiac Structure, Function, and Heart Failure-related Traits,2021,NA,.
43,doi:10.1161/CIRCULATIONAHA.121.053797,  title: Prioritizing the Role of Major Lipoproteins and Subfractions as Risk Factors    for Peripheral Artery Disease,2021,NA,.
44,doi:10.1101/2021.01.11.21249148,  title: Prioritizing the Role of Major Lipoproteins and Subfractions as Risk Factors    for Peripheral Artery Disease,2021,NA,.
45,doi:10.1101/2021.07.05.450786,  title: Projecting genetic associations through gene expression patterns highlights    disease etiology and drug mechanisms,2021,NA,.
46,doi:10.1161/CIRCGEN.119.002769,  title: Genetic Predisposition to Coronary Artery Disease in Type 2 Diabetes Mellitus,2020,NA,.
47,doi:10.1186/s12920-020-00742-9,  title: Genetic colocalization atlas points to common regulatory sites and genes    for hematopoietic traits and hematopoietic contributions to disease phenotypes,2020,NA,.
48,doi:10.1371/journal.pmed.1003302,  title: 'The relationship between circulating lipids and breast cancer risk: A Mendelian    randomization study',2020,NA,.
49,doi:10.1101/2020.08.26.20179366,  title: "Multi-trait association studies discover pleiotropic loci between Alzheimer\u2019\    s disease and cardiometabolic traits",2020,NA,.
50,doi:10.1101/2020.05.26.117358,  title: Identifying non-identical-by-descent rare variants in population-scale whole    genome sequencing data,2020,NA,.
51,doi:10.1101/2020.01.30.20019737,  title: Genetically determined body mass index mediates the effect of smoking on    type 2 diabetes risk, but not coronary artery disease risk,2020,NA,.
52,doi:10.1371/journal.pgen.1008629,  title: A missense variant in Mitochondrial Amidoxime Reducing Component 1 gene and    protection against liver disease,2020,NA,.
53,doi:10.1093/gbe/evaa013,  title: 'BetaScan2: Standardized Statistics to Detect Balancing Selection Utilizing    Substitution Data',2020,NA,.
54,doi:10.1101/2020.07.06.146951,  title: Cis-regulatory architecture of human ESC-derived hypothalamic neuron differentiation    aids in variant-to-gene mapping of relevant complex traits,2020,NA,.
55,doi:10.1038/s41588-020-0637-y,  title: Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes    among 1.4 million participants in a multi-ancestry meta-analysis,2020,NA,.
56,doi:10.1093/hmg/ddaa193,  title: Genetic determinants of increased body mass index mediate the effect of smoking    on increased risk for type 2 diabetes but not coronary artery disease,2020,NA,.
57,doi:10.2337/dc19-0986,  title: Genetic Discrimination Between LADA and Childhood-Onset Type 1 Diabetes Within    the MHC,2019,NA,.
58,doi:10.1101/2020.08.23.20180240,  title: 'Genetic Variation in Blood Pressure and Lifetime Risk of Peripheral Artery    Disease: A Mendelian Randomization Study',2020,NA,.
59,doi:10.1161/CIRCGEN.119.002553,  title: Genetically Determined Birthweight Associates With Atrial Fibrillation,2020,NA,.
60,doi:10.1371/journal.pmed.1003288,  title: 'Genetics of height and risk of atrial fibrillation: A Mendelian randomization    study',2020,NA,.
61,doi:10.1101/2020.04.07.20053447,  title: 'Genetics of Smoking and Risk of Atherosclerotic Cardiovascular Diseases:    A Mendelian Randomization Study',2020,NA,.
62,doi:10.1101/2020.02.17.20024133,  title: Genome-wide association study implicates novel loci and reveals candidate    effector genes for longitudinal pediatric bone accrual through variant-to-gene    mapping,2020,NA,.
63,doi:10.1101/2020.11.09.375592,  title: Mapping the genetic architecture of human traits to cell types in the kidney    identifies mechanisms of disease and potential treatments,2020,NA,.
64,doi:10.1186/s12915-020-00783-7,  title: Tropomyosin 1 genetically constrains in vitro hematopoiesis,2020,NA,.
65,doi:10.1007/s00125-020-05229-x,  title: 'Type 1 diabetes in Africa: an immunogenetic study in the Amhara of North-West    Ethiopia',2020,NA,.
66,doi:10.1371/journal.pone.0237430,  title: Validating a non-invasive, ALT-based non-alcoholic fatty liver phenotype    in the million veteran program,2020,NA,.
67,doi:10.1101/2019.12.23.19015743,  title: 'Genetics of Height and Risk of Atrial Fibrillation: A Mendelian Randomization    Study',2019,NA,.
68,doi:10.1186/s13059-018-1617-8,  title: Keen on the tenure track job, are you? Know these things, you should,2019,NA,.
69,doi:10.1101/794594,  title: 'Assessing a causal relationship between circulating lipids and breast cancer    risk: Mendelian randomization study',2019,NA,.
70,doi:10.1101/787333,  title: Genetic colocalization atlas points to common regulatory sites and genes    for hematopoietic traits and hematopoietic contributions to disease phenotypes,2019,NA,.
71,doi:10.1101/19012690,  title: Discovery of 318 novel loci for type-2 diabetes and related micro- and macrovascular    outcomes among 1.4 million participants in a multi-ethnic meta-analysis,2019,NA,.
72,doi:10.1101/659326,  title: Evaluating the contribution of cell-type specific alternative splicing to    variation in lipid levels,2019,NA,.
73,doi:10.1073/pnas.1913199116,  title: "Natural human genetic variation determines basal and inducible expression\    \ of\n            <i>PM20D1</i>\n            , an obesity-associated gene",2019,NA,.
74,doi:10.1016/j.bone.2019.01.026,  title: Postmenopausal osteoporotic fracture-associated COLIA1 variant impacts bone    accretion in girls,2019,NA,.
75,doi:10.1001/jamanetworkopen.2019.5345,  title: Projected Prevalence of Actionable Pharmacogenetic Variants and Level A Drugs    Prescribed Among US Veterans Health Administration Pharmacy Users,2019,NA,.
76,doi:10.1093/molbev/msz023,  title: Signals of Variation in Human Mutation Rate at Multiple Levels of Sequence    Context,2019,NA,.
77,doi:10.1101/631895,  title: <i>Tropomyosin 1</i> genetically constrains <i>in vitro</i> hematopoiesis,2019,NA,.
78,doi:10.1101/497255,  title: 'BetaScan2: Standardized statistics to detect balancing selection utilizing    substitution data:',2018,NA,.
79,doi:10.1186/s13059-018-1460-y,  title: Dissecting an adiposity locus with an arsenal of genomics,2018,NA,.
80,doi:10.1101/385096,  title: Signals of variation in human mutation rate at multiple levels of sequence    context,2018,NA,.
81,doi:10.1038/s41559-018-0478-6,  title: Patterns of shared signatures of recent positive selection across human populations,2018,NA,.
82,doi:10.1101/319848,  title: Bivariate GWAS scan identifies six novel loci associated with lipid levels    and coronary artery disease,2018,NA,.
83,doi:10.1161/CIRCGEN.118.002239,  title: Bivariate Genome-Wide Association Scan Identifies 6 Novel Loci Associated    With Lipid Levels and Coronary Artery Disease,2018,NA,.
84,doi:10.1038/sdata.2018.2,  title: 'Erratum: Sequence data and association statistics from 12,940 type 2 diabetes    cases and controls',2018,NA,.
85,doi:10.2337/dc18-1032,  title: First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults    Reveals Novel Insights Linking Immune and Metabolic Diabetes,2018,NA,.
86,doi:10.1002/jbmr.3320,  title: Genetically Determined Later Puberty Impacts Lowered Bone Mineral Density    in Childhood and Adulthood,2017,NA,.
87,doi:10.1371/journal.pgen.1007329,  title: Insights into the genetic epidemiology of Crohn's and rare diseases in the    Ashkenazi Jewish population,2018,NA,.
88,doi:10.1161/CIRCGEN.117.002070,  title: Multiplexed Targeted Resequencing Identifies Coding and Regulatory Variation    Underlying Phenotypic Extremes of High-Density Lipoprotein Cholesterol in Humans,2018,NA,.
89,doi:10.1007/s00439-018-1938-4,  title: Rare loss of function variants in candidate genes and risk of colorectal    cancer,2018,NA,.
90,doi:10.1101/109371,  title: Patterns of shared signatures of recent positive selection across human populations,2017,NA,.
91,doi:10.2337/db16-1253,  title: An Expanded Genome-Wide Association Study of Type 2 Diabetes in Europeans,2017,NA,.
92,doi:10.1161/JAHA.116.004918,  title: Causal Effect of Plasminogen Activator Inhibitor Type 1 on Coronary Heart    Disease,2017,NA,.
93,doi:10.1038/sdata.2017.179,  title: Sequence data and association statistics from 12,940 type 2 diabetes cases    and controls,2017,NA,.
94,doi:10.1186/s12864-017-3522-z,  title: De novo mutational profile in RB1 clarified using a mutation rate modeling    algorithm,2017,NA,.
95,doi:10.1101/112870,  title: Detecting Long-term Balancing Selection using Allele Frequency Correlation,2017,NA,.
96,doi:10.1093/molbev/msx209,  title: Detecting Long-Term Balancing Selection Using Allele Frequency Correlation,2017,NA,.
97,doi:10.1186/s13040-017-0137-5,  title: 'Gene Set Enrichment Analyses: lessons learned from the heart failure phenotype',2017,NA,.
98,doi:10.1371/journal.pone.0182999,  title: Genomic correlates of glatiramer acetate adverse cardiovascular effects lead    to a novel locus mediating coronary risk,2017,NA,.
99,doi:10.1038/ng.3943,  title: Identification of new susceptibility loci for type 2 diabetes and shared    etiological pathways with coronary heart disease,2017,NA,.
100,doi:10.1016/j.ajhg.2017.02.004,  title: Large-Scale trans -eQTLs Affect Hundreds of Transcripts and Mediate Patterns    of Transcriptional Co-regulation,2017,NA,.
101,doi:10.1101/235887,  title: Multiplexed targeted resequencing identifies coding and regulatory variation    underlying phenotypic extremes of HDL-cholesterol in humans,2017,NA,.
102,doi:10.1186/s12916-017-0846-0,  title: Relative contribution of type 1 and type 2 diabetes loci to the genetic etiology    of adult-onset, non-insulin-requiring autoimmune diabetes,2017,NA,.
